Trigger,Applies To,Learning Type,Sent To,Timestamp,Priority Level,Typical Response Time,Contextual Summary,Tone,Response Likelihood,Escalation Level,Feedback,Compliance Check,Actionable Links,Comments,Send Now,Employee Number,Previous Records Present,Most Active Day
30 days prior to Due Date if not enrolled on an active offering,Both,Instructor-led,Colleague,2024-04-26 09:51:02,High,6,Summary of the pending request.,Urgent,0.0458243836556622,None,Neutral,Pass,http://example.com/action,"Urgency appreciated, let's act quickly on this.",0,9717,Yes,Monday
30 days prior to Due Date if not enrolled on an active offering,Both,Instructor-led,Colleague,2023-08-24 09:51:02,Medium,6,Summary of the pending request.,Friendly,0.331149868214407,None,Positive,Fail,http://example.com/action,"Helpful reminder, keeps everything on track!",0,7891,No,Saturday
30 days prior to Due Date if not enrolled on an active offering,Both,Instructor-led,Colleague,2024-06-07 09:51:02,Medium,2,Summary of the pending request.,Friendly,0.2421965601412244,Level 2,Negative,Pass,http://example.com/action,"Thanks for the prompt update, it's much appreciated.",1,8970,Yes,Thursday
60 days prior to Due Date if not enrolled on an active offering,First Time,Instructor-led,Colleague,2024-05-10 09:51:02,High,5,Summary of the pending request.,Neutral,0.6939806410407938,Level 1,Positive,Pass,http://example.com/action,"Received the reminder, action pending.",0,4177,Yes,Thursday
90 days prior to Due Date if not enrolled on an active offering,First Time,Instructor-led,Colleague,2023-06-26 09:51:02,Medium,1,Summary of the pending request.,Urgent,0.9371597632022476,Level 2,Positive,Fail,http://example.com/action,Please prioritize this as it's extremely urgent.,1,9477,Yes,Tuesday
60 days prior to Due Date if not enrolled on an active offering,First Time,Instructor-led,Colleague,2024-02-29 09:51:02,Medium,6,Summary of the pending request.,Neutral,0.565856627951035,None,Negative,Pass,http://example.com/action,"Reminder received, will look into it.",0,5873,Yes,Tuesday
Assignment of a course for Reassignment,Reassignment,Both,Colleague,2024-04-20 09:51:02,Low,7,Summary of the pending request.,Friendly,0.9184934943957024,Level 2,Neutral,Fail,http://example.com/action,"Helpful reminder, keeps everything on track!",0,7506,No,Wednesday
60 days prior to Due Date if not enrolled on an active offering,First Time,Instructor-led,Colleague,2023-06-18 09:51:02,Low,1,Summary of the pending request.,Urgent,0.9985867550893268,Level 1,Neutral,Pass,http://example.com/action,"This is an urgent matter, please address it immediately.",1,5670,Yes,Monday
60 days prior to Due Date if not enrolled on an active offering,First Time,Instructor-led,Colleague,2024-02-17 09:51:02,High,2,Summary of the pending request.,Urgent,0.9462615328819464,Level 1,Neutral,Pass,http://example.com/action,"Immediate action required, cannot delay!",1,8577,Yes,Saturday
90 days prior to Due Date if not enrolled on an active offering,First Time,Instructor-led,Colleague,2024-01-09 09:51:02,Low,7,Summary of the pending request.,Neutral,0.8680921488690649,Level 2,Positive,Fail,http://example.com/action,"Reminder received, will look into it.",0,4687,Yes,Tuesday
Assignment of a course for Reassignment,Reassignment,Both,Colleague,2023-08-12 09:51:02,High,7,Summary of the pending request.,Neutral,0.1022102765198487,Level 1,Positive,Fail,http://example.com/action,"Noted, will review the details soon.",0,1638,No,Monday
30 days prior to Due Date if not enrolled on an active offering,Both,Instructor-led,Colleague,2023-08-11 09:51:02,High,2,Summary of the pending request.,Friendly,0.4752823780987313,Level 2,Positive,Fail,http://example.com/action,"Always good to get these reminders, thank you!",1,2531,No,Thursday
60 days prior to Due Date if not enrolled on an active offering,First Time,Instructor-led,Colleague,2024-02-18 09:51:02,Medium,6,Summary of the pending request.,Friendly,0.237530201446925,Level 1,Negative,Fail,http://example.com/action,"Thanks for the prompt update, it's much appreciated.",0,4719,Yes,Thursday
Auto-assign course(s) into plan,Both,Instructor-led,Colleague,2023-11-17 09:51:02,High,2,Summary of the pending request.,Urgent,0.3830352924313381,None,Negative,Pass,http://example.com/action,"Immediate action required, cannot delay!",1,4735,No,Monday
Assignment of a course for Reassignment,Reassignment,Both,Colleague,2023-08-30 09:51:02,Medium,6,Summary of the pending request.,Neutral,0.7638567641619896,Level 1,Positive,Fail,http://example.com/action,"Okay, I will check this out.",0,7514,Yes,Monday
60 days prior to Due Date if not enrolled on an active offering,First Time,Instructor-led,Colleague,2023-06-21 09:51:02,Medium,4,Summary of the pending request.,Urgent,0.4129601097889264,None,Neutral,Fail,http://example.com/action,"Urgency appreciated, let's act quickly on this.",0,9766,Yes,Tuesday
60 days prior to Due Date if not enrolled on an active offering,First Time,Instructor-led,Colleague,2024-06-02 09:51:02,High,4,Summary of the pending request.,Friendly,0.37396148767902,Level 1,Positive,Fail,http://example.com/action,"Helpful reminder, keeps everything on track!",0,1094,Yes,Thursday
30 days prior to Due Date if not enrolled on an active offering,Both,Instructor-led,Colleague,2023-12-27 09:51:02,Low,2,Summary of the pending request.,Neutral,0.2194216346214361,Level 1,Neutral,Pass,http://example.com/action,"Acknowledged, will take the necessary steps.",1,2063,No,Monday
30 days prior to Due Date if not enrolled on an active offering,Both,Instructor-led,Colleague,2024-05-12 09:51:02,Medium,3,Summary of the pending request.,Friendly,0.718717425222983,Level 1,Negative,Pass,http://example.com/action,"Always good to get these reminders, thank you!",1,4530,No,Sunday
30 days prior to Due Date if not enrolled on an active offering,Both,Instructor-led,Colleague,2023-06-30 09:51:02,High,5,Summary of the pending request.,Neutral,0.6770349658766818,Level 2,Neutral,Fail,http://example.com/action,"Received the reminder, action pending.",0,4451,No,Monday
30 days prior to Due Date if not enrolled on an active offering,Both,Instructor-led,Colleague,2023-09-05 09:51:02,Low,5,Summary of the pending request.,Urgent,0.1286633906892151,None,Neutral,Fail,http://example.com/action,Important to address this as soon as possible.,0,3708,Yes,Thursday
Auto-assign course(s) into plan,Both,Instructor-led,Colleague,2023-09-30 09:51:02,Low,3,Summary of the pending request.,Urgent,0.0501423372639535,Level 1,Negative,Pass,http://example.com/action,"Urgency appreciated, let's act quickly on this.",1,2062,Yes,Tuesday
90 days prior to Due Date if not enrolled on an active offering,First Time,Instructor-led,Colleague,2024-06-03 09:51:02,Medium,3,Summary of the pending request.,Neutral,0.3650155373952375,Level 2,Positive,Pass,http://example.com/action,"Okay, I will check this out.",1,4054,Yes,Monday
Auto-assign course(s) into plan,Both,Instructor-led,Colleague,2023-08-12 09:51:02,Low,6,Summary of the pending request.,Neutral,0.0536964319473936,Level 1,Positive,Pass,http://example.com/action,"Acknowledged, will take the necessary steps.",0,1054,Yes,Thursday
Auto-assign course(s) into plan,Both,Instructor-led,Colleague,2023-10-14 09:51:02,Low,5,Summary of the pending request.,Urgent,0.9689962572847513,None,Positive,Fail,http://example.com/action,"This is an urgent matter, please address it immediately.",0,9152,No,Thursday
90 days prior to Due Date if not enrolled on an active offering,First Time,Instructor-led,Colleague,2023-10-24 09:51:02,Low,6,Summary of the pending request.,Friendly,0.0714025095785483,Level 2,Positive,Pass,http://example.com/action,"Always good to get these reminders, thank you!",0,3125,Yes,Monday
90 days prior to Due Date if not enrolled on an active offering,First Time,Instructor-led,Colleague,2024-05-20 09:51:02,Medium,1,Summary of the pending request.,Neutral,0.864910584051879,None,Negative,Fail,http://example.com/action,"Acknowledged, will take the necessary steps.",1,2619,Yes,Wednesday
90 days prior to Due Date if not enrolled on an active offering,First Time,Instructor-led,Colleague,2023-07-17 09:51:02,High,7,Summary of the pending request.,Neutral,0.0997116977419784,Level 1,Positive,Pass,http://example.com/action,"Noted, will review the details soon.",0,2908,No,Sunday
60 days prior to Due Date if not enrolled on an active offering,First Time,Instructor-led,Colleague,2023-10-13 09:51:02,Low,3,Summary of the pending request.,Friendly,0.3542869886448128,Level 2,Negative,Fail,http://example.com/action,"Thanks for the prompt update, it's much appreciated.",1,2625,Yes,Friday
30 days prior to Due Date if not enrolled on an active offering,Both,Instructor-led,Colleague,2024-04-23 09:51:02,Low,3,Summary of the pending request.,Friendly,0.9774793482325116,None,Negative,Fail,http://example.com/action,"Thanks for the prompt update, it's much appreciated.",1,5926,Yes,Sunday
60 days prior to Due Date if not enrolled on an active offering,First Time,Instructor-led,Colleague,2024-02-20 09:51:02,Medium,1,Summary of the pending request.,Friendly,0.865067397697266,Level 2,Positive,Fail,http://example.com/action,"Thanks for the prompt update, it's much appreciated.",1,6468,No,Saturday
Auto-assign course(s) into plan,Both,Instructor-led,Colleague,2023-10-24 09:51:02,Low,7,Summary of the pending request.,Neutral,0.6197103685374153,None,Neutral,Pass,http://example.com/action,"Okay, I will check this out.",0,3560,No,Saturday
90 days prior to Due Date if not enrolled on an active offering,First Time,Instructor-led,Colleague,2023-07-17 09:51:02,Medium,3,Summary of the pending request.,Urgent,0.2109828435863264,Level 2,Negative,Fail,http://example.com/action,"Urgency appreciated, let's act quickly on this.",1,7809,Yes,Wednesday
60 days prior to Due Date if not enrolled on an active offering,First Time,Instructor-led,Colleague,2024-01-02 09:51:02,Low,4,Summary of the pending request.,Friendly,0.6401416690475789,Level 1,Positive,Fail,http://example.com/action,"Great reminder, very helpful!",0,9669,Yes,Sunday
Assignment of a course for Reassignment,Reassignment,Both,Colleague,2024-01-06 09:51:02,Low,1,Summary of the pending request.,Urgent,0.2679720308946144,Level 1,Negative,Pass,http://example.com/action,Please prioritize this as it's extremely urgent.,1,1832,Yes,Monday
Assignment of a course for Reassignment,Reassignment,Both,Colleague,2023-10-20 09:51:02,Low,6,Summary of the pending request.,Urgent,0.5234845576782113,Level 1,Positive,Pass,http://example.com/action,Important to address this as soon as possible.,0,7166,Yes,Monday
90 days prior to Due Date if not enrolled on an active offering,First Time,Instructor-led,Colleague,2023-08-27 09:51:02,High,4,Summary of the pending request.,Friendly,0.0423022615627913,None,Neutral,Pass,http://example.com/action,"Great reminder, very helpful!",0,6408,Yes,Sunday
Assignment of a course for Reassignment,Reassignment,Both,Colleague,2024-05-25 09:51:02,Low,4,Summary of the pending request.,Urgent,0.1622472120884505,Level 2,Negative,Pass,http://example.com/action,Important to address this as soon as possible.,0,4228,No,Wednesday
60 days prior to Due Date if not enrolled on an active offering,First Time,Instructor-led,Colleague,2024-05-20 09:51:02,High,1,Summary of the pending request.,Urgent,0.6589827495146631,Level 1,Neutral,Fail,http://example.com/action,Important to address this as soon as possible.,1,7882,Yes,Monday
90 days prior to Due Date if not enrolled on an active offering,First Time,Instructor-led,Colleague,2023-11-08 09:51:02,Medium,2,Summary of the pending request.,Friendly,0.9229850357343844,None,Positive,Pass,http://example.com/action,"Always good to get these reminders, thank you!",1,5033,Yes,Saturday
Assignment of a course for Reassignment,Reassignment,Both,Colleague,2023-07-07 09:51:02,High,4,Summary of the pending request.,Neutral,0.3385612340514317,Level 2,Neutral,Pass,http://example.com/action,"Received the reminder, action pending.",0,9567,Yes,Friday
Assignment of a course for Reassignment,Reassignment,Both,Colleague,2023-09-18 09:51:02,High,6,Summary of the pending request.,Neutral,0.8502932390887963,Level 2,Positive,Pass,http://example.com/action,"Noted, will review the details soon.",0,9837,Yes,Tuesday
30 days prior to Due Date if not enrolled on an active offering,Both,Instructor-led,Colleague,2023-08-17 09:51:02,Low,2,Summary of the pending request.,Neutral,0.3102317375518121,Level 2,Negative,Fail,http://example.com/action,"Received the reminder, action pending.",1,8326,No,Tuesday
Assignment of a course for Reassignment,Reassignment,Both,Colleague,2023-10-19 09:51:02,High,4,Summary of the pending request.,Urgent,0.4549786727706703,Level 2,Neutral,Fail,http://example.com/action,Please prioritize this as it's extremely urgent.,0,5757,Yes,Thursday
Assignment of a course for Reassignment,Reassignment,Both,Colleague,2023-07-07 09:51:02,High,4,Summary of the pending request.,Neutral,0.3385612340514317,Level 2,Neutral,Pass,http://example.com/action,"Acknowledged, will take the necessary steps.",0,9567,Yes,Saturday
60 days prior to Due Date if not enrolled on an active offering,First Time,Instructor-led,Colleague,2024-05-10 09:51:02,High,5,Summary of the pending request.,Neutral,0.6939806410407938,Level 1,Positive,Pass,http://example.com/action,"Acknowledged, will take the necessary steps.",0,4177,Yes,Thursday
30 days prior to Due Date if not enrolled on an active offering,Both,Instructor-led,Colleague,2023-07-16 09:51:02,Medium,1,Summary of the pending request.,Neutral,0.5741000043314627,Level 1,Negative,Pass,http://example.com/action,"Reminder received, will look into it.",1,2970,No,Sunday
90 days prior to Due Date if not enrolled on an active offering,First Time,Instructor-led,Colleague,2023-10-19 09:51:02,High,7,Summary of the pending request.,Friendly,0.6499606842941816,None,Positive,Pass,http://example.com/action,"Helpful reminder, keeps everything on track!",0,3674,Yes,Saturday
60 days prior to Due Date if not enrolled on an active offering,First Time,Instructor-led,Colleague,2024-01-01 09:51:02,Low,1,Summary of the pending request.,Urgent,0.2044231243537317,None,Positive,Fail,http://example.com/action,"Urgency appreciated, let's act quickly on this.",1,6742,No,Wednesday
